id,city,lat,long,temp,pop
32,Bayonne,43.4945144,-1.4736657,289.1685714285714,0.04285714285714286
26,Collioure,42.52505,3.0831554,288.9814285714286,0.008571428571428572
18,Cassis,43.2140359,5.5396318,288.85714285714283,0.028571428571428574
17,Bormes les Mimosas,43.1506968,6.3419285,288.78000000000003,0.028571428571428574
31,Biarritz,43.471143749999996,-1.552726590666314,288.6728571428572,0.047142857142857146
19,Marseille,43.2961743,5.3699525,288.54,0.03142857142857143
27,Carcassonne,43.2130358,2.3491069,288.21714285714285,0.041428571428571426
25,Saintes Maries de la mer,43.4522771,4.4287172,287.99857142857144,0.028571428571428574
24,Aigues Mortes,43.5658225,4.1912837,287.78714285714284,0.07142857142857142
29,Toulouse,43.6044622,1.4442469,287.72571428571433,0.032857142857142856
23,Nimes,43.8374249,4.3600687,287.66428571428577,0.045714285714285714
30,Montauban,44.0175835,1.3549991,287.4057142857143,0.07571428571428572
20,Aix en Provence,43.5298424,5.4474738,287.3771428571428,0.018571428571428572
14,Grenoble,45.1875602,5.7357819,287.3228571428571,0.33428571428571435
21,Avignon,43.9492493,4.8059012,287.03571428571433,0.04857142857142858
22,Uzes,44.0121279,4.4196718,286.9142857142857,0.0842857142857143
15,Lyon,45.7578137,4.8320114,285.96857142857147,0.29000000000000004
33,La Rochelle,46.1591126,-1.1520434,285.49857142857144,0.5728571428571428
16,Gorges du Verdon,43.7496562,6.3285616,285.1942857142857,0.032857142857142856
0,St Malo,48.649518,-2.0260409,284.6914285714286,0.6657142857142857
10,Eguisheim,48.0447968,7.3079618,284.5957142857143,0.767142857142857
9,Colmar,48.0777517,7.3579641,284.46999999999997,0.7671428571428571
28,Ariege,42.9455368,1.4065544156065486,284.0457142857143,0.012857142857142857
4,Paris,48.8588897,2.3200410217200766,284.0385714285714,0.51
13,Annecy,45.8992348,6.1288847,283.99,0.5414285714285715
2,Le Havre,49.4938975,0.1079732,283.93857142857144,0.6671428571428571
11,Besancon,47.2380222,6.0243622,283.89428571428573,0.6928571428571428
3,Rouen,49.4404591,1.0939658,283.87857142857143,0.5957142857142858
7,Strasbourg,48.584614,7.7507127,283.85857142857145,0.7414285714285714
1,Bayeux,49.2764624,-0.7024738,283.7514285714286,0.6757142857142858
12,Dijon,47.3215806,5.0414701,283.70571428571435,0.5314285714285714
5,Amiens,49.8941708,2.2956951,283.07428571428574,0.5414285714285715
6,Lille,50.6365654,3.0635282,282.3457142857143,0.5742857142857144
8,Chateau du Haut Koenigsbourg,48.249489800000006,7.34429620253195,281.4942857142857,0.7714285714285714
